,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_,SSD,HDD
603,MSI,Gaming,16,Nvidia,Windows,4.14,117162.72,0,0,127.33567457123111,Intel Core i7,128,1000
604,Dell,Notebook,4,AMD,Linux,2.18,24775.2,0,0,100.45466986113651,Intel Core i3,0,1000
605,MSI,Gaming,16,Nvidia,Windows,1.8,122490.72,0,0,282.42399616439724,Intel Core i7,256,2000
606,Toshiba,Notebook,8,Intel,Windows,2.2,74538.72,0,1,141.21199808219862,Intel Core i7,256,0
607,Lenovo,Notebook,6,Intel,Windows,2.4,30049.92,0,0,141.21199808219862,Intel Core i5,0,1000
608,Lenovo,2 in 1 Convertible,8,Intel,Windows,2.0,69210.72,1,1,141.21199808219862,Intel Core i7,256,0
609,Acer,Notebook,4,Intel,Windows,1.6,18594.72,0,0,111.93520355955211,Intel Processor,0,0
610,Lenovo,Notebook,32,Nvidia,Windows,2.5,261018.72,0,1,282.42399616439724,Intel Processor,1000,0
611,Dell,Gaming,16,Nvidia,Windows,2.59,46833.6528,0,0,141.21199808219862,Intel Core i7,0,1000
612,Dell,Notebook,4,Intel,Linux,2.18,23650.992,0,0,100.45466986113651,Intel Core i3,0,1000
613,Dell,Notebook,4,Intel,Linux,2.25,19127.52,0,0,100.45466986113651,Intel Core i3,0,1000
614,Dell,Notebook,4,Intel,Linux,1.93,46300.32,0,0,100.45466986113651,Intel Core i5,0,500
615,Asus,Gaming,8,Nvidia,Windows,3.0,62231.04,0,0,127.33567457123111,Intel Core i7,128,1000
616,Dell,Notebook,4,AMD,Linux,2.18,30316.32,0,0,141.21199808219862,Intel Core i5,128,0
617,HP,Ultrabook,8,Intel,Windows,1.84,74005.92,0,0,141.21199808219862,Intel Core i7,512,0
618,MSI,Gaming,16,Nvidia,Windows,2.94,120831.5808,0,0,141.21199808219862,Intel Core i7,256,1000
619,Acer,2 in 1 Convertible,4,Intel,Chrome,1.25,20193.12,1,1,135.0942111925629,Intel Processor,0,0
620,HP,Notebook,8,Intel,Windows,2.31,59886.72,0,0,111.93520355955211,Intel Core i5,256,0
621,Lenovo,Notebook,8,Intel,Windows,1.65,78055.2,0,0,157.3505121487356,Intel Core i5,256,0
622,Dell,Notebook,4,AMD,Windows,2.2,41345.28,0,0,141.21199808219862,Intel Core i5,0,1000
623,Fujitsu,Notebook,8,Intel,Windows,2.2,42570.72,0,0,100.45466986113651,Intel Core i5,256,0
624,HP,Notebook,4,Intel,Windows,1.88,49656.96,0,0,100.45466986113651,Intel Core i5,0,500
625,Lenovo,Notebook,8,Nvidia,Windows,2.2,47898.72,0,0,141.21199808219862,Intel Core i7,0,1000
626,Mediacom,Notebook,2,Intel,Windows,1.4,12733.92,0,0,157.3505121487356,Intel Processor,0,0
627,Lenovo,Notebook,4,Intel,No,2.2,24935.04,0,0,141.21199808219862,Intel Core i5,128,0
628,Asus,2 in 1 Convertible,6,Intel,Windows,1.5,34046.4528,1,0,165.6321180513006,Intel Core i5,0,1000
629,Dell,Notebook,8,Nvidia,Windows,2.0,96969.6,0,0,141.21199808219862,Intel Core i7,256,0
630,Asus,Ultrabook,16,Intel,Windows,1.1,101232.0,0,0,157.3505121487356,Intel Core i7,512,0
631,Dell,Gaming,16,Nvidia,Windows,2.62,78801.12,0,0,141.21199808219862,Intel Core i7,256,1000
632,Lenovo,Notebook,4,Intel,Windows,1.8,44169.12,0,0,141.21199808219862,Intel Core i5,256,0
633,Lenovo,Notebook,4,Nvidia,Windows,2.2,30849.12,0,0,141.21199808219862,Intel Core i3,0,1000
634,Asus,Notebook,8,Intel,Windows,2.0,21258.72,0,0,100.45466986113651,Intel Processor,0,1000
